Series;Time;Value;;;;
my-mysql-container;2023-06-23T12:12:43+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:13:13+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:13:43+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:14:13+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:14:43+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:15:13+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:15:43+02:00;462606336;441,1757813;;mysql;441,1757813
my-mysql-container;2023-06-23T12:16:13+02:00;462606336;441,1757813;;backend;296,6990327
my-mysql-container;2023-06-23T12:16:43+02:00;462606336;441,1757813;;frontend;45,33984375
my-mysql-container;2023-06-23T12:17:13+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:17:43+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:18:13+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:18:43+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:19:13+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:19:43+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:20:13+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:20:43+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:21:13+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:21:43+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:22:13+02:00;462606336;441,1757813;;;
my-mysql-container;2023-06-23T12:22:43+02:00;462606336;441,1757813;;;
frontend;2023-06-23T12:12:43+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:13:13+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:13:43+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:14:13+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:14:43+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:15:13+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:15:43+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:16:13+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:16:43+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:17:13+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:17:43+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:18:13+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:18:43+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:19:13+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:19:43+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:20:13+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:20:43+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:21:13+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:21:43+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:22:13+02:00;47542272;45,33984375;;;
frontend;2023-06-23T12:22:43+02:00;47542272;45,33984375;;;
backend;2023-06-23T12:12:43+02:00;310960128;296,5546875;;;
backend;2023-06-23T12:13:13+02:00;311103488;296,6914063;;;
backend;2023-06-23T12:13:43+02:00;310988800;296,5820313;;;
backend;2023-06-23T12:14:13+02:00;311132160;296,71875;;;
backend;2023-06-23T12:14:43+02:00;311025664;296,6171875;;;
backend;2023-06-23T12:15:13+02:00;311173120;296,7578125;;;
backend;2023-06-23T12:15:43+02:00;311058432;296,6484375;;;
backend;2023-06-23T12:16:13+02:00;311066624;296,65625;;;
backend;2023-06-23T12:16:43+02:00;311087104;296,6757813;;;
backend;2023-06-23T12:17:13+02:00;311099392;296,6875;;;
backend;2023-06-23T12:17:43+02:00;311115776;296,703125;;;
backend;2023-06-23T12:18:13+02:00;311128064;296,7148438;;;
backend;2023-06-23T12:18:43+02:00;311144448;296,7304688;;;
backend;2023-06-23T12:19:13+02:00;311144448;296,7304688;;;
backend;2023-06-23T12:19:43+02:00;311144448;296,7304688;;;
backend;2023-06-23T12:20:13+02:00;311144448;296,7304688;;;
backend;2023-06-23T12:20:43+02:00;311144448;296,7304688;;;
backend;2023-06-23T12:21:13+02:00;311144448;296,7304688;;;
backend;2023-06-23T12:21:43+02:00;311144448;296,7304688;;;
backend;2023-06-23T12:22:13+02:00;311144448;296,7304688;;;
backend;2023-06-23T12:22:43+02:00;311246848;296,828125;;;
