Series;Time;Value;;;;;
my-mysql-container;2023-06-23T12:34:36+02:00;473083904;451,1679688;;;;
my-mysql-container;2023-06-23T12:35:06+02:00;473096192;451,1796875;;;;
my-mysql-container;2023-06-23T12:35:36+02:00;473415680;451,484375;;;;
my-mysql-container;2023-06-23T12:36:06+02:00;473702400;451,7578125;;;;
my-mysql-container;2023-06-23T12:36:36+02:00;473882624;451,9296875;;;;
my-mysql-container;2023-06-23T12:37:06+02:00;474419200;452,4414063;;;;
my-mysql-container;2023-06-23T12:37:36+02:00;474738688;452,7460938;;;;
my-mysql-container;2023-06-23T12:38:06+02:00;474742784;452,75;;;;
my-mysql-container;2023-06-23T12:38:36+02:00;474701824;452,7109375;;;;
my-mysql-container;2023-06-23T12:39:06+02:00;474701824;452,7109375;;;;
my-mysql-container;2023-06-23T12:39:36+02:00;474701824;452,7109375;;;;
my-mysql-container;2023-06-23T12:40:06+02:00;474701824;452,7109375;;;;
my-mysql-container;2023-06-23T12:40:36+02:00;474710016;452,71875;;;;
my-mysql-container;2023-06-23T12:41:06+02:00;474710016;452,71875;;;;
my-mysql-container;2023-06-23T12:41:36+02:00;474710016;452,71875;;;;
my-mysql-container;2023-06-23T12:42:06+02:00;474804224;452,8085938;;;;
my-mysql-container;2023-06-23T12:42:36+02:00;475000832;452,9960938;;;;
my-mysql-container;2023-06-23T12:43:06+02:00;480440320;458,1835938;;;;
my-mysql-container;2023-06-23T12:43:36+02:00;496631808;473,625;;;;
my-mysql-container;2023-06-23T12:44:06+02:00;502812672;479,5195313;;;;
my-mysql-container;2023-06-23T12:44:36+02:00;509067264;485,484375;;;;
frontend;2023-06-23T12:34:36+02:00;50143232;47,8203125;;;;
frontend;2023-06-23T12:35:06+02:00;50634752;48,2890625;;;;
frontend;2023-06-23T12:35:36+02:00;50872320;48,515625;;;;
frontend;2023-06-23T12:36:06+02:00;50941952;48,58203125;;;;
frontend;2023-06-23T12:36:36+02:00;52035584;49,625;;;;
frontend;2023-06-23T12:37:06+02:00;52383744;49,95703125;;;mysql;456,5273438
frontend;2023-06-23T12:37:36+02:00;52613120;50,17578125;;;backend;919,1324405
frontend;2023-06-23T12:38:06+02:00;51892224;49,48828125;;;frontend;49,63337054
frontend;2023-06-23T12:38:36+02:00;51892224;49,48828125;;;;
frontend;2023-06-23T12:39:06+02:00;52256768;49,8359375;;;;
frontend;2023-06-23T12:39:36+02:00;52256768;49,8359375;;;;
frontend;2023-06-23T12:40:06+02:00;52256768;49,8359375;;;;
frontend;2023-06-23T12:40:36+02:00;52256768;49,8359375;;;;
frontend;2023-06-23T12:41:06+02:00;52400128;49,97265625;;;;
frontend;2023-06-23T12:41:36+02:00;52400128;49,97265625;;;;
frontend;2023-06-23T12:42:06+02:00;52400128;49,97265625;;;;
frontend;2023-06-23T12:42:36+02:00;52400128;49,97265625;;;;
frontend;2023-06-23T12:43:06+02:00;52400128;49,97265625;;;;
frontend;2023-06-23T12:43:36+02:00;52400128;49,97265625;;;;
frontend;2023-06-23T12:44:06+02:00;53047296;50,58984375;;;;
frontend;2023-06-23T12:44:36+02:00;53047296;50,58984375;;;;
backend;2023-06-23T12:34:36+02:00;766615552;731,1015625;;;;
backend;2023-06-23T12:35:06+02:00;773197824;737,3789063;;;;
backend;2023-06-23T12:35:36+02:00;770904064;735,1914063;;;;
backend;2023-06-23T12:36:06+02:00;770879488;735,1679688;;;;
backend;2023-06-23T12:36:36+02:00;771063808;735,34375;;;;
backend;2023-06-23T12:37:06+02:00;1061679104;1012,496094;;;;
backend;2023-06-23T12:37:36+02:00;1062813696;1013,578125;;;;
backend;2023-06-23T12:38:06+02:00;1058467840;1009,433594;;;;
backend;2023-06-23T12:38:36+02:00;1022386176;975,0234375;;;;
backend;2023-06-23T12:39:06+02:00;1022312448;974,953125;;;;
backend;2023-06-23T12:39:36+02:00;1003196416;956,7226563;;;;
backend;2023-06-23T12:40:06+02:00;999485440;953,1835938;;;;
backend;2023-06-23T12:40:36+02:00;999477248;953,1757813;;;;
backend;2023-06-23T12:41:06+02:00;999448576;953,1484375;;;;
backend;2023-06-23T12:41:36+02:00;999436288;953,1367188;;;;
backend;2023-06-23T12:42:06+02:00;1008365568;961,6523438;;;;
backend;2023-06-23T12:42:36+02:00;1013768192;966,8046875;;;;
backend;2023-06-23T12:43:06+02:00;1022205952;974,8515625;;;;
backend;2023-06-23T12:43:36+02:00;1037635584;989,5664063;;;;
backend;2023-06-23T12:44:06+02:00;1038323712;990,2226563;;;;
backend;2023-06-23T12:44:36+02:00;1037721600;989,6484375;;;;
