"Time","containers-comparison_backend_1"
2023-06-26 20:13:00,10.7
2023-06-26 20:13:30,17.7
2023-06-26 20:14:00,20.2
2023-06-26 20:14:30,20.6
2023-06-26 20:15:00,22.2
2023-06-26 20:15:30,24.9
2023-06-26 20:16:00,27.8
2023-06-26 20:16:30,27.9
2023-06-26 20:17:00,30.4
2023-06-26 20:17:30,33.7
2023-06-26 20:18:00,22.7
2023-06-26 20:18:30,16.5
2023-06-26 20:19:00,14.7
2023-06-26 20:19:30,18.6
2023-06-26 20:20:00,19.6
2023-06-26 20:20:30,16.4
2023-06-26 20:21:00,14.1
2023-06-26 20:21:30,19.8
2023-06-26 20:22:00,20.4
2023-06-26 20:22:30,17.9
2023-06-26 20:23:00,20.3

